"name","image","party","status","email","term"
"Jonathan Motzfeldt","/css/images/INAT-dukke-lys.jpg","Siumut","Member of Inatsisartut","jomo@gh.gl","1987-05-26"
"Hendrik Nielsen","/css/images/INAT-dukke-lys.jpg","Siumut","Member of Inatsisartut","","1987-05-26"
"Aqqaluk Lynge","/css/images/INAT-dukke-lys.jpg","Inuit_Ataqatigiit","Member of Inatsisartut","","1987-05-26"
"Bent Frederiksen","/css/images/INAT-dukke-lys.jpg","Siumut","Member of Inatsisartut","","1987-05-26"
"Godmand Jensen","/css/images/INAT-dukke-lys.jpg","Atassut","Member of Inatsisartut","","1987-05-26"
"Hans Iversen","/css/images/INAT-dukke-lys.jpg","Siumut","Member of Inatsisartut","","1987-05-26"
"Henriette Rasmussen","/css/images/INAT-dukke-lys.jpg","Inuit_Ataqatigiit","Member of Inatsisartut","","1987-05-26"
"Holger Sivertsen","/css/images/INAT-dukke-lys.jpg","Atassut","Member of Inatsisartut","","1987-05-26"
"Jakob Sivertsen","/css/images/INAT-dukke-lys.jpg","Atassut","Member of Inatsisartut","","1987-05-26"
"Jens Geisler","/css/images/INAT-dukke-lys.jpg","Inuit_Ataqatigiit","Member of Inatsisartut","","1987-05-26"
"Jens Lyberth","/css/images/INAT-dukke-lys.jpg","Siumut","Member of Inatsisartut","","1987-05-26"
"Jonas Danielsen","/css/images/INAT-dukke-lys.jpg","Siumut","Member of Inatsisartut","","1987-05-26"
"Josef  Motzfeldt","/media/234511/2010.09.17 Start EM 2010 00881.jpg","Inuit_Ataqatigiit","Member of Inatsisartut","tuusi@inatsisartut.gl","1987-05-26"
"Knud Sørensen","/css/images/INAT-dukke-lys.jpg","Atassut","Member of Inatsisartut","","1987-05-26"
"Konrad Steenholdt","/css/images/INAT-dukke-lys.jpg","Atassut","Member of Inatsisartut","","1987-05-26"
"Lars Chemnitz","/css/images/INAT-dukke-lys.jpg","Atassut","Member of Inatsisartut","","1987-05-26"
"Lars-Emil Johansen","/media/753863/Lars-Emil Johansen - 07533.jpg","Siumut","Member of Inatsisartut","larsemil@inatsisartut.gl","1987-05-26"
"Mikael Petersen","/css/images/INAT-dukke-lys.jpg","Siumut","Member of Inatsisartut","","1987-05-26"
"Moses Olsen","/css/images/INAT-dukke-lys.jpg","Siumut","Member of Inatsisartut","","1987-05-26"
"Niels Carlo Heilmann","/css/images/INAT-dukke-lys.jpg","Atassut","Member of Inatsisartut","","1987-05-26"
"Nikolaj Heinrich","/css/images/INAT-dukke-lys.jpg","Issittup_Partiia","Member of Inatsisartut","","1987-05-26"
"Otto Steenholdt","/css/images/INAT-dukke-lys.jpg","Atassut","Member of Inatsisartut","","1987-05-26"
"Peter Ostermann","/css/images/INAT-dukke-lys.jpg","Atassut","Member of Inatsisartut","","1987-05-26"
"Preben Lange","/css/images/INAT-dukke-lys.jpg","Siumut","Member of Inatsisartut","","1987-05-26"
"Torben Emil Lynge","/media/2316111/INAT-dukke-lys.jpg","Atassut","Member of Inatsisartut","","1987-05-26"
"Uusaqqak Qujaukitsoq","/media/2316160/INAT-dukke-lys.jpg","Siumut","Member of Inatsisartut","","1987-05-26"
