id,name,image,party,status,email,term
fc383496-e530-4885-a020-d5fa1adb9e58,Jonathan Motzfeldt,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,Member of Inatsisartut,jomo@gh.gl,1979-05-01
2cee0ddf-2e20-4081-b816-0020a37b9743,Hendrik Nielsen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,Member of Inatsisartut,"",1979-05-01
98910cf1-54f9-41a4-8b16-3de553fc004c,Aage Hammeken,http://en.inatsisartut.gl/media/2316307/INAT-dukke-lys.jpg,Siumut,Member of Inatsisartut,"",1979-05-01
1d2b8674-da01-43c0-a8af-521296160406,Anders Andreassen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,Member of Inatsisartut,"",1979-05-01
d2d87db5-bf3a-41bf-b2aa-69e1d09d17ed,Anguteraq Davidsen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,Member of Inatsisartut,"",1979-05-01
aac4aa2c-bbf5-4d21-87e9-ca2e3ac9783b,Bent Frederiksen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,Member of Inatsisartut,"",1979-05-01
da956eff-e68e-4420-b816-b9df89e2342d,Frederik Rosback,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,Member of Inatsisartut,"",1979-05-01
038ce71d-52d3-4093-a2a1-897947764e12,Jakob Sivertsen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,Member of Inatsisartut,"",1979-05-01
fb8105bb-969b-4d48-9460-854c15b5a85c,Konrad Steenholdt,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,Member of Inatsisartut,"",1979-05-01
1a4928b0-5326-4857-a6cd-f0764a835679,Lars Godtfredsen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,Member of Inatsisartut,"",1979-05-01
5777e11f-e768-459f-b372-04337c331d55,Lars Chemnitz,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,Member of Inatsisartut,"",1979-05-01
89f4a64a-eab1-46c4-8caa-b9b33cf0cc7f,Lars-Emil Johansen,http://en.inatsisartut.gl/media/753863/Lars-Emil%20Johansen%20-%2007533.jpg,Siumut,Member of Inatsisartut,larsemil@inatsisartut.gl,1979-05-01
3073090e-ac00-4a11-8603-29be228a2e90,Moses Olsen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,Member of Inatsisartut,"",1979-05-01
